DrugID	TargetID
Andrographolide	4791
Andrographolide	4790
Andrographolide	7124
Androstanedione	3292
Androstenediol	2099
Androstenediol	2100
Androstenedione	3292
Androstenedione	1588
Androstenedione	3283
Androstenedione	8644
Anethole trithione	7052
Angiotensin 1-7	4142
Angiotensin II	186
Angiotensin II	185
Anidulafungin	852920
Anidulafungin	4981154
Anifrolumab	3454
Anileridine	4988
Aniline	3816
Aniline	213
Aniracetam	1813
Aniracetam	2891
Aniracetam	2892
Aniracetam	3356
Anisindione	2677
Anisindione	2147
Anisodamine	153
Anisomycin	23521
Anisomycin	6138
Anisomycin	6122
Anisomycin	6167
Anisomycin	4809
Anisomycin	51187
Anisomycin	6143
Anisomycin	6147
Anisomycin	9349
Anisomycin	6135
Anisomycin	6132
Anisomycin	140801
Anisomycin	51121
Anisotropine methylbromide	1131
Anisotropine methylbromide	1133
Anisotropine methylbromide	1129
Anisotropine methylbromide	1128
Anistreplase	2243
Anistreplase	5054
Anistreplase	5340
Anlotinib	6714
Annamycin	7153
Anpocogin	2155
Anpocogin	2152
Anpocogin	2159
Ansuvimab	911829
Antazoline	3269
Anthralin	3849
Anthralin	9479
Anthralin	3859
Anthranilic acid	259307
Anthranilic acid	1610
Anthrax immune globulin human	45025512
Anti-SARS-CoV-2 REGN-COV2	43740568
Anti-inhibitor coagulant complex	2159
Anti-inhibitor coagulant complex	2155
Anti-inhibitor coagulant complex	2157
Anti-inhibitor coagulant complex	2244
Anti-inhibitor coagulant complex	2162
Anti-inhibitor coagulant complex	2153
Anti-inhibitor coagulant complex	2243
Anti-inhibitor coagulant complex	2147
Antihemophilic factor (recombinant), PEGylated	7450
Antihemophilic factor human	2159
Antihemophilic factor human	2158
Antihemophilic factor, human recombinant	3309
Antihemophilic factor, human recombinant	433
Antihemophilic factor, human recombinant	2159
Antihemophilic factor, human recombinant	90411
Antihemophilic factor, human recombinant	5264
Antihemophilic factor, human recombinant	7450
Antihemophilic factor, human recombinant	811
Antihemophilic factor, human recombinant	821
Antihemophilic factor, human recombinant	4035
Antihemophilic factor, human recombinant	3998
Antihemophilic factor, human recombinant	2158
Antipyrine	5742
Antipyrine	5743
Antithrombin Alfa	2159
Antithrombin Alfa	2147
Antithrombin III human	462
Antithymocyte immunoglobulin (rabbit)	3685
Antithymocyte immunoglobulin (rabbit)	3140
Antithymocyte immunoglobulin (rabbit)	909
